cluster_10_nome_ale,annotazioni_parsate,count
Ci_Invadono,conquistare europa,2
Ci_Invadono,conquistare italia,6
Ci_Invadono,conquistare occidente,2
Ci_Invadono,convertire italia,2
Ci_Invadono,convertire stati,5
Ci_Invadono,favorisce immigrazione,21
Ci_Invadono,favoriscono immigrazione,9
Ci_Invadono,imporre dittatura,2
Ci_Invadono,invadendo europa,4
Ci_Invadono,invadendo italia,50
Ci_Invadono,invadere europa,5
Ci_Invadono,invadere italia,32
Ci_Invadono,invadono italia,5
Ci_Invadono,invaso italia,10
Ci_Invadono,minacciano cultura,5
Ci_Invadono,non benvoluti,3
Ci_Invadono,non cittadini,2
Ci_Invadono,sono invasori,72
Ci_Invadono,sono invasori sono,2
Ci_Invadono,sono parassiti,153
Ci_Invadono,sono troppi,12
Ci_Invadono,sostituiscono italiani,2
Ci_Invadono,vanno affrontati,9
Ci_Invadono,vanno cacciati,20
Ci_Invadono,vanno contrastati,13
Ci_Invadono,vogliono convertire,4
Ci_Invadono,è incontrollata,6
FannoQuelloCheVogliono/PretendonoCose,disturbano,2
FannoQuelloCheVogliono/PretendonoCose,hanno diritti,27
FannoQuelloCheVogliono/PretendonoCose,non profughi,47
FannoQuelloCheVogliono/PretendonoCose,non rispettano autorità,8
FannoQuelloCheVogliono/PretendonoCose,non rispettano legge,2
FannoQuelloCheVogliono/PretendonoCose,non rispettano leggi,6
FannoQuelloCheVogliono/PretendonoCose,non rispettano regole,5
FannoQuelloCheVogliono/PretendonoCose,pretendono aiuto,2
FannoQuelloCheVogliono/PretendonoCose,proteggono migranti,3
FannoQuelloCheVogliono/PretendonoCose,sfruttano deboli,2
FannoQuelloCheVogliono/PretendonoCose,sono approfittatori,31
FannoQuelloCheVogliono/PretendonoCose,sono benestanti,9
FannoQuelloCheVogliono/PretendonoCose,sono bugiardi,3
FannoQuelloCheVogliono/PretendonoCose,sono finti,13
FannoQuelloCheVogliono/PretendonoCose,sono furbi,3
FannoQuelloCheVogliono/PretendonoCose,sono impuniti,29
FannoQuelloCheVogliono/PretendonoCose,sono incivili sono,3
FannoQuelloCheVogliono/PretendonoCose,sono ingrati,11
FannoQuelloCheVogliono/PretendonoCose,sono padroni,5
FannoQuelloCheVogliono/PretendonoCose,sono prepotenti,5
FannoQuelloCheVogliono/PretendonoCose,sono privilegiati,18
FannoQuelloCheVogliono/PretendonoCose,sono trattati,55
FannoQuelloCheVogliono/PretendonoCose,sono tutelati,33
FannoQuelloCheVogliono/PretendonoCose,sono viziati,3
FannoQuelloCheVogliono/PretendonoCose,sono viziosi,3
FannoQuelloCheVogliono/PretendonoCose,tolgono soldi,25
FannoQuelloCheVogliono/PretendonoCose,è business,34
HannoCulturaDiversa/SonoAnimali,considerano donne,2
HannoCulturaDiversa/SonoAnimali,disprezzano donne,3
HannoCulturaDiversa/SonoAnimali,frugano in cassonetti,3
HannoCulturaDiversa/SonoAnimali,maltrattano donne,4
HannoCulturaDiversa/SonoAnimali,non hanno cultura,4
HannoCulturaDiversa/SonoAnimali,non rispettano donne,2
HannoCulturaDiversa/SonoAnimali,non rispettano famiglia,2
HannoCulturaDiversa/SonoAnimali,non vogliono democrazia,2
HannoCulturaDiversa/SonoAnimali,rovistano in spazzatura,3
HannoCulturaDiversa/SonoAnimali,sfruttano donne,2
HannoCulturaDiversa/SonoAnimali,sono arretrati,6
HannoCulturaDiversa/SonoAnimali,sono ignoranti,13
HannoCulturaDiversa/SonoAnimali,sono immorali,2
HannoCulturaDiversa/SonoAnimali,sono indegni,2
HannoCulturaDiversa/SonoAnimali,sono misogini,7
HannoCulturaDiversa/SonoAnimali,sono primitivi,5
HannoCulturaDiversa/SonoAnimali,sono retrogradi,2
HannoCulturaDiversa/SonoAnimali,sono selvaggi,31
HannoCulturaDiversa/SonoAnimali,sono sottomesse,2
HannoCulturaDiversa/SonoAnimali,sono succubi,2
HannoCulturaDiversa/SonoAnimali,sono tribali,2
HannoCulturaDiversa/SonoAnimali,sottomette donna,2
HannoCulturaDiversa/SonoAnimali,trattano donne,3
HannoCulturaDiversa/SonoAnimali,va contro valori di,17
HannoCulturaDiversa/SonoAnimali,vanno contro valori di,3
HannoCulturaDiversa/SonoAnimali,è inferiore,3
HannoScarsaIgiene,non hanno cura,5
HannoScarsaIgiene,non prendono cura,2
HannoScarsaIgiene,sono feccia,27
HannoScarsaIgiene,sono sporchi,31
None/Doubt,*,2
None/Doubt,aiuta immigrati,5
None/Doubt,aiuta rom,2
None/Doubt,aiutano rom,3
None/Doubt,guadagna da business di,2
None/Doubt,immigrati,2
None/Doubt,incita,2
None/Doubt,lucra su migranti,3
None/Doubt,lucrano su immigrati,3
None/Doubt,lucrano su migranti,12
None/Doubt,migranti,4
None/Doubt,migranti senza,2
None/Doubt,migranti sono,7
None/Doubt,non necessaria,2
None/Doubt,non ricchezza,2
None/Doubt,sfrutta immigrati,2
None/Doubt,sono categoria,66
None/Doubt,sono controllo,11
None/Doubt,sono maschi,4
None/Doubt,sono persone,2
None/Doubt,sono sinistra,6
None/Doubt,è colpa,2
