cluster_5_nome_ale,annotazioni_parsate,count
PeggioranoLeNostreCondizioniDiVita,convertire stati,5
PeggioranoLeNostreCondizioniDiVita,difende migranti,3
PeggioranoLeNostreCondizioniDiVita,difende mussulmani,3
PeggioranoLeNostreCondizioniDiVita,difende rom,6
PeggioranoLeNostreCondizioniDiVita,difendono migranti,5
PeggioranoLeNostreCondizioniDiVita,favorisce immigrazione,21
PeggioranoLeNostreCondizioniDiVita,favorisce mussulmani,3
PeggioranoLeNostreCondizioniDiVita,favoriscono immigrazione,9
PeggioranoLeNostreCondizioniDiVita,hanno problemi,3
PeggioranoLeNostreCondizioniDiVita,imporre dittatura,2
PeggioranoLeNostreCondizioniDiVita,incentivano migranti,2
PeggioranoLeNostreCondizioniDiVita,invadendo europa,4
PeggioranoLeNostreCondizioniDiVita,invadendo italia,50
PeggioranoLeNostreCondizioniDiVita,invadere europa,5
PeggioranoLeNostreCondizioniDiVita,invadere italia,32
PeggioranoLeNostreCondizioniDiVita,invadono italia,5
PeggioranoLeNostreCondizioniDiVita,invaso italia,10
PeggioranoLeNostreCondizioniDiVita,limita libertà,8
PeggioranoLeNostreCondizioniDiVita,mantengono immigrati,5
PeggioranoLeNostreCondizioniDiVita,mantengono migranti,3
PeggioranoLeNostreCondizioniDiVita,mantengono nomadi,2
PeggioranoLeNostreCondizioniDiVita,mantengono rom,3
PeggioranoLeNostreCondizioniDiVita,mantengono stranieri,2
PeggioranoLeNostreCondizioniDiVita,minacciano cultura,5
PeggioranoLeNostreCondizioniDiVita,non beneficio,5
PeggioranoLeNostreCondizioniDiVita,non benvoluti,3
PeggioranoLeNostreCondizioniDiVita,non cittadini,2
PeggioranoLeNostreCondizioniDiVita,non hanno casa,5
PeggioranoLeNostreCondizioniDiVita,non hanno competenze,2
PeggioranoLeNostreCondizioniDiVita,non meritano,3
PeggioranoLeNostreCondizioniDiVita,non meritano aiuto,5
PeggioranoLeNostreCondizioniDiVita,preferisce immigrati,2
