stereotipi,occorrenze,cluster N=10,cluster N=5,"COPPIE DI CLUSTER ALE:
---
2 FannoQuelloCheVogliono/PretendonoCose
2 SonoFannulloni
---
SonoPericolosi
SonoCriminali
---
HannoScarsaIgiene
PortanoDegrado
---
PesanoSulleNostreSpalle
Ci_Invadono
----
5 SonoDiversiDaNoi
5 HannoCulturaDiversa/SonoAnimali"
maltrattano italiani,2,SonoPericolosi,SonoPericolosi,
sono sporchi,31,HannoScarsaIgiene,PortanoDegrado,
sono feccia,27,HannoScarsaIgiene,PortanoDegrado,
non hanno cura,5,HannoScarsaIgiene,PortanoDegrado,
non prendono cura,2,HannoScarsaIgiene,PortanoDegrado,
rovinano italia,19,PortanoDegrado,PortanoDegrado,
portano degrado,13,PortanoDegrado,PortanoDegrado,
inquinano,12,PortanoDegrado,PortanoDegrado,
sono spacciatori,9,PortanoDegrado,PortanoDegrado,
sono mendicanti,9,PortanoDegrado,PortanoDegrado,
rovinano ambiente,5,PortanoDegrado,PortanoDegrado,
deturpano città,4,PortanoDegrado,PortanoDegrado,
sono vandali,4,PortanoDegrado,PortanoDegrado,
danneggiano ambiente,3,PortanoDegrado,PortanoDegrado,
vivono in degrado,2,PortanoDegrado,PortanoDegrado,
sono stupidi,2,PortanoDegrado,PortanoDegrado,
sono portatori,2,PortanoDegrado,PortanoDegrado,
rovinato economia,2,PortanoDegrado,PortanoDegrado,
rovinando italia,2,PortanoDegrado,PortanoDegrado,
portano insicurezza,2,PortanoDegrado,PortanoDegrado,
fanno figli,2,PortanoDegrado,PortanoDegrado,
sono selvaggi,31,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
va contro valori di,17,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono ignoranti,13,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono misogini,7,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono arretrati,6,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono primitivi,5,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
maltrattano donne,4,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
non hanno cultura,4,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
è inferiore,3,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
trattano donne,3,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
rovistano in spazzatura,3,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
frugano in cassonetti,3,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
disprezzano donne,3,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
vanno contro valori di,3,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sottomette donna,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono tribali,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono succubi,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono sottomesse,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono retrogradi,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono indegni,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono immorali,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sfruttano donne,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
non vogliono democrazia,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
non rispettano famiglia,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
non rispettano donne,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
considerano donne,2,HannoCulturaDiversa/SonoAnimali,HannoCulturaDiversaDallaNostra,
sono nomadi,52,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non sanno figli,25,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono incompatibili,23,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono mussulmani,22,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono inferiori,21,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
è religione,19,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono intolleranti,17,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono incivili,16,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono musulmani,14,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono integralisti,14,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono estremisti,10,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono autoritari,10,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non integrar,9,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non hanno diritti,6,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non italiani,6,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non integrare,5,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono africani,5,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
tutela musulmani,4,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono falsi,4,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono zingari,4,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non hanno diritto,3,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono codardi,3,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
costrette velo,3,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
musulmani sono,2,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono migranti,2,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono islamici,2,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono fondamentalisti,2,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono coperti,2,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non parlano italiano,2,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
non democratici,2,SonoDiversiDaNoi,HannoCulturaDiversaDallaNostra,
sono categoria,66,None/Doubt,None/Doubt,
lucrano su migranti,12,None/Doubt,None/Doubt,
sono controllo,11,None/Doubt,None/Doubt,
è valori,8,None/Doubt,None/Doubt,
migranti sono,7,None/Doubt,None/Doubt,
sono sinistra,6,None/Doubt,None/Doubt,
aiuta immigrati,5,None/Doubt,None/Doubt,
migranti,4,None/Doubt,None/Doubt,
